Number,Site/Condition,Fed,Site,Expert,Low,Best,High,Conf,Min,Mode,Max,Solved?
144,Hauturu - U,U,Hauturu,Doug,500,1000,3000,95,387,1000,4412,yes
145,Hauturu - U,U,Hauturu,Kevin,500,1500,6000,100,500,1500,6000,NA
146,Hauturu - U,U,Hauturu,Lynn,600,1500,6000,100,600,1500,6000,NA
147,Hauturu - U,U,Hauturu,Troy,550,2800,4200,95,-626,2800,4651,yes
148,Hauturu - U,U,Hauturu,Neil,500,2500,5000,95,-237,2500,6162,yes
149,Hauturu - U,U,Hauturu,John,500,1200,2500,100,500,1200,2500,NA
150,Hauturu - U,U,Hauturu,Mhairi,400,1500,3000,100,400,1500,3000,NA
49,Bushy - F,F,Bushy,Doug,30,200,400,95,-35,200,490,yes
50,Bushy - F,F,Bushy,Kevin,100,180,360,95,78,180,467,yes
51,Bushy - F,F,Bushy,Lynn,50,100,200,100,50,100,200,NA
52,Bushy - F,F,Bushy,Troy,90,160,210,95,56,160,227,yes
53,Bushy - F,F,Bushy,Neil,50,100,150,90,20,100,181,yes
54,Bushy - F,F,Bushy,John,100,130,250,100,100,130,250,NA
55,Bushy - F,F,Bushy,Mhairi,80,140,150,95,34,140,152,yes
56,Bushy - F,F,Bushy,Kate,80,100,180,95,75,100,236,yes
57,Bushy - U,U,Bushy,Doug,0,0,30,95,0,0,67,yes
58,Bushy - U,U,Bushy,Kevin,0,20,60,95,0,20,96,yes
59,Bushy - U,U,Bushy,Lynn,4,0,10,100,4,0,10,NA
60,Bushy - U,U,Bushy,Troy,0,45,90,95,0,45,123,yes
61,Bushy - U,U,Bushy,Neil,0,0,30,90,0,0,81,yes
62,Bushy - U,U,Bushy,John,10,50,100,100,10,50,100,NA
63,Bushy - U,U,Bushy,Mhairi,15,40,50,95,0,40,53,yes
64,Bushy - U,U,Bushy,Kate,0,0,40,95,0,0,89,yes
151,Cuvier - U,U,Cuvier,Doug,0,30,100,100,0,30,100,NA
