Kapiti_F,Kapiti_D,Kapiti_S,Maunga_F,Maunga_D,Maunga_S,Rotok_F,Rotok_D,Rotok_S,Tiri_F,Tiri_D,Tiri_S,Karori_F,Karori_D,Karori_S,Bushy_F,Bushy_D,Bushy_S,Bushy_a,Bushy_b,Bushy_T,Karori_a,Karori_b,Karori_T,Maunga_a,Maunga_b,Maunga_T,Rotok_a,Rotok_b,Rotok_T,Tiri_a,Tiri_b,Tiri_T
32,1.596,1.074,23,-0.06992,0.4065531,20,1.373,1.598,86,1.169,1.183,32,0.8428,0.7162,16,0.2616,0.5342,-0.06411,-1.758,0.5,-0.3323,-2.289,0.27,0.3515,-1.638,0.58,-0.4879,-1.844,0.2001,0.4564,-7.548,0.07
29,1.476,0.8336,25,-0.06992,0.490906685,19,1.255,1.043,86,1.169,1.353,30,0.7476,0.8552,14,0.2205,0.6663,-0.01001,-1.97,0.5,-0.3678,-2.163,0.27,0.3515,-1.638,0.58,-0.4491,-1.801,0.2001,0.4845,-7.533,0.07
29,1.476,0.9686,26,0.1853,0.821251218,24,1.325,1.07,87,1.169,0.9921,31,0.7784,0.8534,14,0.2205,0.7384,-0.2095,-1.699,0.5,-0.352,-2.008,0.27,0.3523,-1.612,0.58,-0.4599,-1.708,0.2014,0.479,-7.602,0.07
27,1.511,1.017,29,0.3885,0.821251218,21,1.093,1.72,86,1.169,1.298,30,0.7784,0.9579,9,0.2205,0.5668,-0.2164,-1.495,0.5,-0.3583,-1.791,0.27,0.385,-1.69,0.58,-0.4743,-1.61,0.202,0.5428,-12.02,0.07
34,1.511,0.8457,20,0.2217,0.657250381,19,1.105,1.663,87,1.169,1.406,20,0.8072,0.9941,12,0.2558,0.6429,-0.2154,-1.676,0.5,-0.4979,-2.176,0.27,0.385,-1.69,0.58,-0.3737,-1.654,0.205,0.5544,-11.68,0.07
27,1.511,1.017,26,0.5333,0.65065288,19,0.952,1.784,86,1.139,1.494,24,0.8072,0.9156,17,0.2558,0.6432,-0.2519,-1.505,0.5,-0.5365,-1.92,0.27,0.3442,-1.683,0.58,-0.3578,-1.617,0.198,0.5544,-11.68,0.07
29,1.489,0.6848,29,-1.062,0.65065288,20,1.077,1.869,87,1.097,1.014,21,0.8072,0.8554,13,0.3084,0.6786,-0.2435,-1.681,0.5,-0.5807,-1.842,0.27,0.3181,-1.7,0.58,-0.4142,-1.531,0.1995,0.5255,-11.92,0.07
31,1.489,0.8977,25,-1.062,0.525944303,21,1.191,1.947,87,1.097,1.509,19,0.7843,0.8738,14,0.3209,0.648,-0.2435,-1.681,0.5,-0.5807,-1.842,0.27,0.3181,-1.7,0.58,-0.3959,-1.329,0.2022,0.4981,-11.42,0.07
29,1.507,0.9392,26,0.09234,0.239327022,20,1.048,1.753,90,1.096,1.543,21,0.7793,0.7497,16,0.3209,0.6135,-0.3968,-2.269,0.5,-0.5747,-1.63,0.27,0.3181,-1.7,0.58,-0.4529,-1.711,0.215,0.4981,-11.42,0.07
28,1.45,0.8725,22,0.09234,0.62805457,21,1.048,1.489,88,1.155,1.362,22,0.7942,0.8243,14,0.3588,0.6635,-0.2836,-2.202,0.5,-0.5747,-1.63,0.27,0.3181,-1.7,0.58,-0.4719,-1.629,0.2162,0.5008,-11.23,0.07
28,1.364,1.07,18,-1.05,0.646100745,21,1.048,1.667,90,1.155,1.2,18,0.7942,0.531,16,0.2817,0.6503,-0.206,-2.43,0.5,-0.6396,-1.605,0.27,0.3376,-1.721,0.58,-0.4746,-1.535,0.2137,0.5176,-11.15,0.07
29,1.396,1.146,31,-1.05,0.646100745,18,1.048,1.82,88,1.075,0.9949,23,0.7508,0.5404,16,0.2817,0.7356,-0.07398,-2.558,0.5,-0.6012,-2.009,0.27,0.3142,-1.578,0.58,-0.4746,-1.535,0.2137,0.5213,-11.03,0.07
26,1.458,0.982,21,-1.05,0.589529341,19,1.048,1.454,89,1.075,1.007,23,0.6925,0.8387,15,0.3325,0.6446,-0.4647,-2.677,0.5,-0.6183,-2.112,0.27,0.3142,-1.578,0.58,-0.4746,-1.535,0.2137,0.5245,-10.92,0.07
27,1.548,1.262,24,-0.7514,0.796774512,24,0.972,1.508,86,1.075,1.421,30,0.6925,0.6673,14,0.3325,0.6342,-0.4647,-2.677,0.5,-0.5601,-2.385,0.27,0.332,-1.557,0.58,-0.4746,-1.535,0.2137,0.5349,-11.23,0.07
30,1.51,1.565,28,0.4197,0.903605236,19,1.16,1.873,86,1.075,1.388,29,0.7119,0.7753,14,0.2627,0.6819,-0.4489,-2.299,0.5,-0.5467,-2.345,0.27,0.3858,-1.522,0.58,-0.4526,-1.618,0.2105,0.5422,-11.12,0.07
34,1.482,1.378,28,0.4197,0.535777662,19,1.296,1.775,86,1.075,1.456,20,0.7119,0.646,17,0.08119,0.5864,-0.4351,-2.324,0.5,-0.5611,-2.267,0.27,0.3354,-1.947,0.58,-0.5188,-2.168,0.2289,0.5536,-11.66,0.07
29,1.509,1.42,42,0.4197,0.535777662,18,1.328,1.809,86,1.075,1.427,27,0.7259,0.802,17,0.08119,0.6992,-0.3779,-2.606,0.5,-0.5611,-2.267,0.27,0.3271,-1.95,0.58,-0.5188,-2.168,0.2289,0.5417,-12.17,0.07
30,1.509,1.482,35,0.4197,0.535777662,18,1.419,1.702,86,1.075,1.517,23,0.7259,0.9054,17,0.06407,0.5657,-0.3779,-2.606,0.5,-0.5395,-2.166,0.27,0.2517,-1.889,0.58,-0.5397,-2.16,0.2357,0.5292,-12.55,0.07
35,1.471,1.498,32,0.4197,0.896171816,22,1.28,1.587,86,1.075,1.324,26,0.7259,0.8141,15,0.06407,0.5849,-0.3611,-2.433,0.5,-0.5072,-2.008,0.27,0.2284,-1.759,0.58,-0.5397,-2.16,0.2357,0.5292,-12.55,0.07
30,1.471,1.282,33,0.4197,0.896171816,20,1.263,1.541,86,1.075,1.213,27,0.7259,0.7589,15,0.06765,0.8003,-0.3665,-2.515,0.5,-0.5156,-2.07,0.27,0.3043,-1.87,0.58,-0.5397,-2.16,0.2357,0.5292,-12.55,0.07
