Year,Inflation
1960,0.697929234
1961,1.79770429
1962,2.68085397
1963,1.968498504
1964,3.474905477
1965,3.397489756
1966,2.755480775
1967,6.056920063
1968,4.311924966
1969,4.925242427
1970,6.517181052
1971,10.38756832
1972,6.932804592
1973,8.166669273
1974,11.10940201
1975,14.68498347
1976,16.90685701
1977,14.38354942
1978,11.95661797
1979,13.69959502
1980,17.15054542
1981,15.37015958
1982,16.16369412
1983,7.341075861
1984,6.171253479
1985,15.41765557
1986,13.21339806
1987,15.74430079
1988,6.375249444
1989,5.715991551
1990,6.098444148
1991,2.60239286
1992,1.014560272
1993,1.288207766
1994,1.745377908
1995,3.754944137
1996,2.285713054
1997,1.187148331
1998,1.265244099
1999,-0.11426713
2000,2.615234462
2001,2.625816304
2002,2.677092577
2003,1.753574448
2004,2.290249028
2005,3.037023326
2006,3.365401962
2007,2.376143103
2008,3.958949373
2009,2.115651106
2010,2.30202386
2011,4.027906674
2012,1.059913184
2013,1.134422664
2014,1.227507506
2015,0.292704628
2016,0.646240284
2017,1.850787675
2018,1.598297038
2019,1.619631902
